name,address,city,specialty,website,mobile,map_link
Manipal Hospital,#1 Old Airport Road,Bangalore,Cardiology,https://www.manipalhospitals.com,+91 80 2502 2222,https://maps.google.com/?q=Manipal+Hospital+Bangalore
Fortis Hospital,#2 Bannerghatta Road,Bangalore,Oncology,https://www.fortishealthcare.com,+91 80 6621 4444,https://maps.google.com/?q=Fortis+Hospital+Bannerghatta+Bangalore
Apollo Hospital,#3 Sheshadripuram,Bangalore,Neurology,https://www.apollohospitals.com,+91 80 4033 4400,https://maps.google.com/?q=Apollo+Hospital+Sheshadripuram+Bangalore
Columbia Asia,#4 Hebbal,Bangalore,Pediatrics,https://www.columbiaasia.com,+91 80 4040 4000,https://maps.google.com/?q=Columbia+Asia+Hebbal+Bangalore
Narayana Health,#5 Hosur Road,Bangalore,Orthopedics,https://www.narayanahealth.org,+91 80 7122 2222,https://maps.google.com/?q=Narayana+Health+Hosur+Road+Bangalore
St. Johns Hospital,#6 Koramangala,Bangalore,Gastroenterology,https://www.stjohnshospitalblr.com,+91 80 4946 6000,https://maps.google.com/?q=St+Johns+Hospital+Koramangala+Bangalore
Sakra World Hospital,#7 Outer Ring Road,Bangalore,Endocrinology,https://www.sakraworldhospital.com,+91 80 4969 4969,https://maps.google.com/?q=Sakra+World+Hospital+Bangalore
Aster CMI Hospital,#8 Hebbal,Bangalore,Nephrology,https://www.asterbangalore.com,+91 80 4342 0100,https://maps.google.com/?q=Aster+CMI+Hospital+Hebbal+Bangalore
Vikram Hospital,#9 Millers Road,Bangalore,Dermatology,https://www.vikramhospital.com,+91 80 7107 7107,https://maps.google.com/?q=Vikram+Hospital+Millers+Road+Bangalore
Cloudnine Hospital,#10 Jayanagar,Bangalore,Gynecology,https://www.cloudninecare.com,+91 80 6799 7999,https://maps.google.com/?q=Cloudnine+Hospital+Jayanagar+Bangalore
Motherhood Hospital,#11 Indiranagar,Bangalore,Obstetrics,https://www.motherhoodindia.com,+91 80 6723 8900,https://maps.google.com/?q=Motherhood+Hospital+Indiranagar+Bangalore
Rainbow Children Hospital,#12 Marathahalli,Bangalore,Pediatrics,https://www.rainbowhospitals.in,+91 80 6720 5555,https://maps.google.com/?q=Rainbow+Children+Hospital+Marathahalli+Bangalore
BGS Global Hospital,#13 Kengeri,Bangalore,Hepatology,https://www.bgsglobalhospital.com,+91 80 2620 2200,https://maps.google.com/?q=BGS+Global+Hospital+Kengeri+Bangalore
Sri Jayadeva Institute,#14 Bannerghatta Road,Bangalore,Cardiology,https://www.jayadevacardiology.com,+91 80 2297 7000,https://maps.google.com/?q=Jayadeva+Institute+Bannerghatta+Bangalore
Kidwai Memorial Institute,#15 Hosur Road,Bangalore,Oncology,https://www.kidwai.karnataka.gov.in,+91 80 2609 4000,https://maps.google.com/?q=Kidwai+Memorial+Institute+Bangalore
Bowring and Lady Curzon,#16 Shivajinagar,Bangalore,General Medicine,https://www.bowringhospital.karnataka.gov.in,+91 80 2559 9999,https://maps.google.com/?q=Bowring+Lady+Curzon+Hospital+Bangalore
Victoria Hospital,#17 KR Market,Bangalore,Emergency Medicine,https://www.victoriahospital.karnataka.gov.in,+91 80 2670 1150,https://maps.google.com/?q=Victoria+Hospital+KR+Market+Bangalore
ESIC Hospital,#18 Rajajinagar,Bangalore,Pulmonology,https://www.esic.nic.in,+91 80 2332 0666,https://maps.google.com/?q=ESIC+Hospital+Rajajinagar+Bangalore
KC General Hospital,#19 Malleshwaram,Bangalore,General Surgery,https://www.kcgeneralhospital.karnataka.gov.in,+91 80 2334 0666,https://maps.google.com/?q=KC+General+Hospital+Malleshwaram+Bangalore
Sanjeevini Hospital,#20 Basaveshwaranagar,Bangalore,Urology,https://www.sanjeevinihospital.com,+91 80 2323 2323,https://maps.google.com/?q=Sanjeevini+Hospital+Basaveshwaranagar+Bangalore
Sparsh Hospital,#21 Infantry Road,Bangalore,Orthopedics,https://www.sparshhospital.com,+91 80 6122 2222,https://maps.google.com/?q=Sparsh+Hospital+Infantry+Road+Bangalore
Ramaiah Memorial Hospital,#22 Mathikere,Bangalore,Neurology,https://www.msrmh.com,+91 80 4050 4050,https://maps.google.com/?q=Ramaiah+Memorial+Hospital+Mathikere+Bangalore
Dr. Agarwal Eye Hospital,#23 Jayanagar,Bangalore,Ophthalmology,https://www.dragarwal.com,+91 80 4340 4340,https://maps.google.com/?q=Dr+Agarwal+Eye+Hospital+Jayanagar+Bangalore
Nethradhama,#24 Basavanagudi,Bangalore,Ophthalmology,https://www.nethradhama.org,+91 80 2667 2667,https://maps.google.com/?q=Nethradhama+Basavanagudi+Bangalore
Smile Dental,#25 HSR Layout,Bangalore,Dentistry,https://www.smiledental.in,+91 80 2572 2572,https://maps.google.com/?q=Smile+Dental+HSR+Layout+Bangalore
Dental Solutions,#26 Indiranagar,Bangalore,Dentistry,https://www.dentalsolutionsclinic.com,+91 80 4160 0521,https://maps.google.com/?q=Dental+Solutions+Indiranagar+Bangalore
Diacon Hospital,#27 Rajajinagar,Bangalore,Diabetology,https://www.diaconhospital.com,+91 80 2332 3333,https://maps.google.com/?q=Diacon+Hospital+Rajajinagar+Bangalore
Diabetes Care India,#28 Koramangala,Bangalore,Diabetology,https://www.diabetescareindia.com,+91 80 2552 2552,https://maps.google.com/?q=Diabetes+Care+India+Koramangala+Bangalore
Skinology,#29 JP Nagar,Bangalore,Dermatology,https://www.skinology.in,+91 80 2658 2658,https://maps.google.com/?q=Skinology+JP+Nagar+Bangalore
Derma Solutions,#30 Whitefield,Bangalore,Dermatology,https://www.dermasolutions.co.in,+91 80 4953 4953,https://maps.google.com/?q=Derma+Solutions+Whitefield+Bangalore
ENT Care,#31 Sadashivanagar,Bangalore,Otolaryngology,https://www.entcareclinic.com,+91 80 2345 2345,https://maps.google.com/?q=ENT+Care+Sadashivanagar+Bangalore
Voice & Swallow Clinic,#32 MG Road,Bangalore,Otolaryngology,https://www.voiceandswallowclinic.com,+91 80 2222 2222,https://maps.google.com/?q=Voice+Swallow+Clinic+MG+Road+Bangalore
Bangalore ENT Institute,#33 Indiranagar,Bangalore,Otolaryngology,https://www.bangaloreent.com,+91 80 2525 2525,https://maps.google.com/?q=Bangalore+ENT+Institute+Indiranagar+Bangalore
Orthocure,#34 Banashankari,Bangalore,Orthopedics,https://www.orthocureclinic.com,+91 80 2671 2671,https://maps.google.com/?q=Orthocure+Banashankari+Bangalore
Bone & Joint Clinic,#35 Yelahanka,Bangalore,Orthopedics,https://www.boneandjointclinic.in,+91 80 2846 2846,https://maps.google.com/?q=Bone+Joint+Clinic+Yelahanka+Bangalore
NeuroCare,#36 RT Nagar,Bangalore,Neurology,https://www.neurocareclinic.com,+91 80 2343 2343,https://maps.google.com/?q=NeuroCare+RT+Nagar+Bangalore
Brain & Spine Hospital,#37 Hennur,Bangalore,Neurosurgery,https://www.brainandspinehospital.com,+91 80 2543 2543,https://maps.google.com/?q=Brain+Spine+Hospital+Hennur+Bangalore
Kidney Care,#38 Peenya,Bangalore,Nephrology,https://www.kidneycareclinic.com,+91 80 2839 2839,https://maps.google.com/?q=Kidney+Care+Peenya+Bangalore
Liver Clinic,#39 BTM Layout,Bangalore,Hepatology,https://www.liverclinicbangalore.com,+91 80 2668 2668,https://maps.google.com/?q=Liver+Clinic+BTM+Layout+Bangalore
Heartline,#40 Ulsoor,Bangalore,Cardiology,https://www.heartlineclinic.com,+91 80 2555 2555,https://maps.google.com/?q=Heartline+Ulsoor+Bangalore
Pulse Hospital,#41 Domlur,Bangalore,General Medicine,https://www.pulsehospital.in,+91 80 2535 2535,https://maps.google.com/?q=Pulse+Hospital+Domlur+Bangalore
Nova Specialty Hospital,#42 Koramangala,Bangalore,Fertility,https://www.novaspecialtyhospitals.com,+91 80 2550 2550,https://maps.google.com/?q=Nova+Specialty+Hospital+Koramangala+Bangalore
Garbhagudi IVF Centre,#43 Hanumanthnagar,Bangalore,Fertility,https://www.garbhagudi.com,+91 80 2680 2680,https://maps.google.com/?q=Garbhagudi+IVF+Centre+Hanumanthnagar+Bangalore
Bloom Fertility,#44 Jayanagar,Bangalore,Fertility,https://www.bloomfertility.com,+91 80 2663 2663,https://maps.google.com/?q=Bloom+Fertility+Jayanagar+Bangalore
Care IVF,#45 Indiranagar,Bangalore,Fertility,https://www.careivf.com,+91 80 2520 2520,https://maps.google.com/?q=Care+IVF+Indiranagar+Bangalore
Genesis IVF,#46 Rajajinagar,Bangalore,Fertility,https://www.genesisivf.com,+91 80 2330 2330,https://maps.google.com/?q=Genesis+IVF+Rajajinagar+Bangalore
Vasavi Hospital,#47 Kumaraswamy Layout,Bangalore,General Surgery,https://www.vasavihospital.com,+91 80 2666 2666,https://maps.google.com/?q=Vasavi+Hospital+Kumaraswamy+Layout+Bangalore
Greenview Hospital,#48 HSR Layout,Bangalore,General Medicine,https://www.greenviewmedicalcenter.com,+91 80 2572 2572,https://maps.google.com/?q=Greenview+Hospital+HSR+Layout+Bangalore
Medcare Hospital,#49 Banaswadi,Bangalore,Emergency Medicine,https://www.medcarehospital.in,+91 80 2542 2542,https://maps.google.com/?q=Medcare+Hospital+Banaswadi+Bangalore
Axon Specialty Hospital,#50 Indiranagar,Bangalore,Neurology,https://www.axonhospital.com,+91 80 2525 2525,https://maps.google.com/?q=Axon+Specialty+Hospital+Indiranagar+Bangalore
Bhagwan Mahaveer Jain Hospital,#51 Vasanthnagar,Bangalore,Oncology,https://www.bmjh.org,+91 80 4080 4080,https://maps.google.com/?q=Bhagwan+Mahaveer+Jain+Hospital+Vasanthnagar+Bangalore
HCG Cancer Centre,#52 Sampangiramnagar,Bangalore,Oncology,https://www.hcgoncology.com,+91 80 4660 4600,https://maps.google.com/?q=HCG+Cancer+Centre+Sampangiramnagar+Bangalore
Cytecare Cancer Hospital,#53 Yelahanka,Bangalore,Oncology,https://www.cytecare.com,+91 80 6196 5555,https://maps.google.com/?q=Cytecare+Cancer+Hospital+Yelahanka+Bangalore
Mazumdar Shaw Cancer Centre,#54 Electronic City,Bangalore,Oncology,https://www.narayanahealth.org,+91 80 7122 2222,https://maps.google.com/?q=Mazumdar+Shaw+Cancer+Centre+Electronic+City+Bangalore
Apollo Cradle,#55 Koramangala,Bangalore,Maternity,https://www.apollocradle.com,+91 80 4612 4444,https://maps.google.com/?q=Apollo+Cradle+Koramangala+Bangalore
Motherhood Clinic,#56 Sahakar Nagar,Bangalore,Maternity,https://www.motherhoodindia.com,+91 80 6723 8900,https://maps.google.com/?q=Motherhood+Clinic+Sahakar+Nagar+Bangalore
Cradle Care,#57 JP Nagar,Bangalore,Maternity,https://www.cradlecare.in,+91 80 2658 2658,https://maps.google.com/?q=Cradle+Care+JP+Nagar+Bangalore
Little Flower Hospital,#58 Lingarajapuram,Bangalore,Pediatrics,https://www.littleflowerhospital.com,+91 80 2546 2546,https://maps.google.com/?q=Little+Flower+Hospital+Lingarajapuram+Bangalore
Sunshine Children Clinic,#59 RT Nagar,Bangalore,Pediatrics,https://www.sunshinechildrensclinic.com,+91 80 2343 2343,https://maps.google.com/?q=Sunshine+Children+Clinic+RT+Nagar+Bangalore
Tiny Tots Hospital,#60 Banashankari,Bangalore,Pediatrics,https://www.tinytotshospital.com,+91 80 2671 2671,https://maps.google.com/?q=Tiny+Tots+Hospital+Banashankari+Bangalore
Hope Hospital,#61 Nagarbhavi,Bangalore,General Medicine,https://www.hopehospital.in,+91 80 2323 2323,https://maps.google.com/?q=Hope+Hospital+Nagarbhavi+Bangalore
LifeCare Hospital,#62 Vijayanagar,Bangalore,General Surgery,https://www.lifecarehospitalblr.com,+91 80 2330 2330,https://maps.google.com/?q=LifeCare+Hospital+Vijayanagar+Bangalore
Unity Hospital,#63 Magadi Road,Bangalore,Orthopedics,https://www.unityhospital.in,+91 80 2345 2345,https://maps.google.com/?q=Unity+Hospital+Magadi+Road+Bangalore
Rehab Plus,#64 Indiranagar,Bangalore,Physiotherapy,https://www.rehabplus.in,+91 80 2525 2525,https://maps.google.com/?q=Rehab+Plus+Indiranagar+Bangalore
PhysioCare,#65 Jayanagar,Bangalore,Physiotherapy,https://www.physiocareclinic.com,+91 80 2663 2663,https://maps.google.com/?q=PhysioCare+Jayanagar+Bangalore
Rehab India,#66 Koramangala,Bangalore,Physiotherapy,https://www.rehabindia.in,+91 80 2550 2550,https://maps.google.com/?q=Rehab+India+Koramangala+Bangalore
MindTree Clinic,#67 Sadashivanagar,Bangalore,Psychiatry,https://www.mindtreeclinic.com,+91 80 2345 2345,https://maps.google.com/?q=MindTree+Clinic+Sadashivanagar+Bangalore
Serenity Mental Health,#68 Whitefield,Bangalore,Psychiatry,https://www.serenitymentalhealth.in,+91 80 4953 4953,https://maps.google.com/?q=Serenity+Mental+Health+Whitefield+Bangalore
Calm Minds,#69 HSR Layout,Bangalore,Psychiatry,https://www.calmmindsclinic.com,+91 80 2572 2572,https://maps.google.com/?q=Calm+Minds+HSR+Layout+Bangalore
NIMHANS,#70 Hosur Road,Bangalore,Psychiatry,https://www.nimhans.ac.in,+91 80 2699 5000,https://maps.google.com/?q=NIMHANS+Hosur+Road+Bangalore
Swasthya Hospital,#71 Malleshwaram,Bangalore,General Medicine,https://www.swasthyahospital.com,+91 80 2334 0666,https://maps.google.com/?q=Swasthya+Hospital+Malleshwaram+Bangalore
Sanjeevani Clinic,#72 Rajarajeshwari Nagar,Bangalore,General Medicine,https://www.sanjeevaniclinic.in,+91 80 2860 2860,https://maps.google.com/?q=Sanjeevani+Clinic+Rajarajeshwari+Nagar+Bangalore
Wellness Hospital,#73 RT Nagar,Bangalore,General Surgery,https://www.wellnesshospital.in,+91 80 2343 2343,https://maps.google.com/?q=Wellness+Hospital+RT+Nagar+Bangalore
Cure Plus,#74 Indiranagar,Bangalore,Emergency Medicine,https://www.cureplus.in,+91 80 2520 2520,https://maps.google.com/?q=Cure+Plus+Indiranagar+Bangalore
Apollo Spectra,#75 Koramangala,Bangalore,General Surgery,https://www.apollospectra.com,+91 80 4612 4444,https://maps.google.com/?q=Apollo+Spectra+Koramangala+Bangalore
Fortis La Femme,#76 Richmond Town,Bangalore,Maternity,https://www.fortislafemme.in,+91 80 6621 4444,https://maps.google.com/?q=Fortis+La+Femme+Richmond+Town+Bangalore
Aster RV Hospital,#77 JP Nagar,Bangalore,Multi-specialty,https://www.asterbangalore.com,+91 80 6604 0400,https://maps.google.com/?q=Aster+RV+Hospital+JP+Nagar+Bangalore
People Tree Hospital,#78 Yeshwanthpur,Bangalore,Multi-specialty,https://www.peopletreehospitals.com,+91 80 4959 4959,https://maps.google.com/?q=People+Tree+Hospital+Yeshwanthpur+Bangalore
Brindavan Hospital,#79 Vijayanagar,Bangalore,Multi-specialty,https://www.brindavanhospital.com,+91 80 2330 2330,https://maps.google.com/?q=Brindavan+Hospital+Vijayanagar+Bangalore
Sree Lakshmi Hospital,#80 Basaveshwaranagar,Bangalore,Multi-specialty,https://www.sreelakshmihospital.com,+91 80 2323 2323,https://maps.google.com/?q=Sree+Lakshmi+Hospital+Basaveshwaranagar+Bangalore
Siddhartha Hospital,#81 Nagarbhavi,Bangalore,General Medicine,https://www.siddharthahospital.in,+91 80 2860 2860,https://maps.google.com/?q=Siddhartha+Hospital+Nagarbhavi+Bangalore
Sankara Eye Hospital,#82 Kundalahalli,Bangalore,Ophthalmology,https://www.sankaraeye.com,+91 80 2854 2854,https://maps.google.com/?q=Sankara+Eye+Hospital+Kundalahalli+Bangalore
Shekar Eye Hospital,#83 Bannerghatta Road,Bangalore,Ophthalmology,https://www.shecareyehospital.com,+91 80 2658 2658,https://maps.google.com/?q=Shekar+Eye+Hospital+Bannerghatta+Road+Bangalore
Vasan Eye Care,#84 Jayanagar,Bangalore,Ophthalmology,https://www.vasaneye.in,+91 80 2663 2663,https://maps.google.com/?q=Vasan+Eye+Care+Jayanagar+Bangalore
Apollo Dental,#85 Indiranagar,Bangalore,Dentistry,https://www.apollodental.in,+91 80 2520 2520,https://maps.google.com/?q=Apollo+Dental+Indiranagar+Bangalore
Clove Dental,#86 Koramangala,Bangalore,Dentistry,https://www.clovedental.in,+91 80 2550 2550,https://maps.google.com/?q=Clove+Dental+Koramangala+Bangalore
Sabka Dentist,#87 Whitefield,Bangalore,Dentistry,https://www.sabkadentist.com,+91 80 4953 4953,https://maps.google.com/?q=Sabka+Dentist+Whitefield+Bangalore
Dental Planet,#88 JP Nagar,Bangalore,Dentistry,https://www.dentalplanet.in,+91 80 2658 2658,https://maps.google.com/?q=Dental+Planet+JP+Nagar+Bangalore
SmileX Dental,#89 Banashankari,Bangalore,Dentistry,https://www.smilexdental.com,+91 80 2671 2671,https://maps.google.com/?q=SmileX+Dental+Banashankari+Bangalore
SkinKraft Clinic,#90 MG Road,Bangalore,Dermatology,https://www.skinkraft.com,+91 80 2222 2222,https://maps.google.com/?q=SkinKraft+Clinic+MG+Road+Bangalore
Oliva Skin & Hair,#91 Indiranagar,Bangalore,Dermatology,https://www.olivaclinic.com,+91 80 2525 2525,https://maps.google.com/?q=Oliva+Skin+Hair+Indiranagar+Bangalore
DermaGlow,#92 Koramangala,Bangalore,Dermatology,https://www.dermaglow.in,+91 80 2550 2550,https://maps.google.com/?q=DermaGlow+Koramangala+Bangalore
SkinSure,#93 Whitefield,Bangalore,Dermatology,https://www.skinsureclinic.com,+91 80 4953 4953,https://maps.google.com/?q=SkinSure+Whitefield+Bangalore
SkinAura,#94 Jayanagar,Bangalore,Dermatology,https://www.skinaura.in,+91 80 2663 2663,https://maps.google.com/?q=SkinAura+Jayanagar+Bangalore
ENT Plus,#95 Sadashivanagar,Bangalore,Otolaryngology,https://www.entplusclinic.com,+91 80 2345 2345,https://maps.google.com/?q=ENT+Plus+Sadashivanagar+Bangalore
ClearVoice ENT,#96 Indiranagar,Bangalore,Otolaryngology,https://www.clearvoiceent.com,+91 80 2525 2525,https://maps.google.com/?q=ClearVoice+ENT+Indiranagar+Bangalore
EarCare Clinic,#97 Koramangala,Bangalore,Otolaryngology,https://www.earcareclinic.com,+91 80 2550 2550,https://maps.google.com/?q=EarCare+Clinic+Koramangala+Bangalore
Throat & Voice Centre,#98 Whitefield,Bangalore,Otolaryngology,https://www.throatandvoicecentre.com,+91 80 4953 4953,https://maps.google.com/?q=Throat+Voice+Centre+Whitefield+Bangalore
ENT360,#99 JP Nagar,Bangalore,Otolaryngology,https://www.ent360.in,+91 80 2658 2658,https://maps.google.com/?q=ENT360+JP+Nagar+Bangalore
Bangalore ENT Care,#100 Banashankari,Bangalore,Otolaryngology,https://www.bangaloreentcare.com,+91 80 2671 2671,https://maps.google.com/?q=Bangalore+ENT+Care+Banashankari+Bangalore
Advanced ENT,#101 MG Road,Bangalore,Otolaryngology,https://www.advancedentclinic.com,+91 80 2222 2222,https://maps.google.com/?q=Advanced+ENT+MG+Road+Bangalore
